"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2015M01","Sweden","Total","Total","From 35 to 64 years","First time applicant","Person","975"
"2015M01","Sweden","Total","Total","65 years or over","Asylum applicant","Person","80"
"2015M01","Sweden","Total","Total","65 years or over","First time applicant","Person","70"
"2015M01","United Kingdom","Total","Total","Less than 14 years","Asylum applicant","Person","410"
"2015M01","United Kingdom","Total","Total","Less than 14 years","First time applicant","Person","405"
"2015M01","United Kingdom","Total","Total","From 14 to 17 years","Asylum applicant","Person","200"
"2015M01","United Kingdom","Total","Total","From 14 to 17 years","First time applicant","Person","195"
"2015M01","United Kingdom","Total","Total","From 18 to 34 years","Asylum applicant","Person","1 545"
"2015M01","United Kingdom","Total","Total","From 18 to 34 years","First time applicant","Person","1 525"
"2015M01","United Kingdom","Total","Total","From 35 to 64 years","Asylum applicant","Person","510"
"2015M01","United Kingdom","Total","Total","From 35 to 64 years","First time applicant","Person","510"
"2015M01","United Kingdom","Total","Total","65 years or over","Asylum applicant","Person","35"
"2015M01","United Kingdom","Total","Total","65 years or over","First time applicant","Person","35"
"2015M01","Iceland","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M01","Iceland","Total","Total","Less than 14 years","First time applicant","Person",":"
"2015M01","Iceland","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Iceland","Total","Total","From 14 to 17 years","First time applicant","Person",":"
"2015M01","Iceland","Total","Total","From 18 to 34 years","Asylum applicant","Person","5"
"2015M01","Iceland","Total","Total","From 18 to 34 years","First time applicant","Person",":"
"2015M01","Iceland","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M01","Iceland","Total","Total","From 35 to 64 years","First time applicant","Person",":"
"2015M01","Iceland","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Iceland","Total","Total","65 years or over","First time applicant","Person",":"
"2015M01","Liechtenstein","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M01","Liechtenstein","Total","Total","Less than 14 years","First time applicant","Person",":"
"2015M01","Liechtenstein","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Liechtenstein","Total","Total","From 14 to 17 years","First time applicant","Person",":"
"2015M01","Liechtenstein","Total","Total","From 18 to 34 years","Asylum applicant","Person","0"
"2015M01","Liechtenstein","Total","Total","From 18 to 34 years","First time applicant","Person",":"
